,fra,mil,dal,chi,atl,lon,par,tor,los,mia,mad,sea,nyc,new,ams,ash,pal,war,san
fra,inf,50.0,10.0,80.0,160.0,400.0,500.0,40.0,100.0,110.0,80.0,10.0,20.0,160.0,400.0,160.0,80.0,80.0,40.0
mil,50.0,inf,10.0,50.0,50.0,50.0,10.0,40.0,50.0,50.0,10.0,10.0,20.0,50.0,50.0,50.0,50.0,10.0,40.0
dal,10.0,10.0,inf,10.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0
chi,80.0,50.0,10.0,inf,10.0,80.0,80.0,100.0,10.0,10.0,80.0,10.0,20.0,80.0,80.0,80.0,110.0,80.0,40.0
atl,160.0,50.0,20.0,10.0,inf,160.0,160.0,10.0,100.0,110.0,80.0,10.0,20.0,230.0,160.0,230.0,40.0,80.0,40.0
lon,400.0,50.0,10.0,80.0,160.0,inf,500.0,40.0,100.0,110.0,80.0,10.0,20.0,160.0,500.0,160.0,80.0,80.0,40.0
par,500.0,10.0,10.0,80.0,160.0,500.0,inf,40.0,100.0,110.0,80.0,10.0,20.0,160.0,500.0,160.0,80.0,80.0,40.0
tor,40.0,40.0,10.0,100.0,10.0,40.0,40.0,inf,10.0,10.0,40.0,10.0,10.0,10.0,40.0,10.0,100.0,40.0,40.0
los,100.0,50.0,20.0,10.0,100.0,100.0,100.0,10.0,inf,100.0,80.0,10.0,20.0,100.0,100.0,100.0,40.0,80.0,40.0
mia,110.0,50.0,20.0,10.0,110.0,110.0,110.0,10.0,100.0,inf,80.0,10.0,20.0,110.0,110.0,110.0,40.0,80.0,40.0
mad,80.0,10.0,10.0,80.0,80.0,80.0,80.0,40.0,80.0,80.0,inf,10.0,20.0,80.0,80.0,80.0,80.0,10.0,40.0
sea,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,10.0,10.0,10.0,10.0,10.0,10.0,10.0
nyc,20.0,20.0,10.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,inf,20.0,20.0,20.0,20.0,20.0,20.0
new,160.0,50.0,10.0,80.0,230.0,160.0,160.0,10.0,100.0,110.0,80.0,10.0,20.0,inf,160.0,230.0,80.0,80.0,40.0
ams,400.0,50.0,10.0,80.0,160.0,500.0,500.0,40.0,100.0,110.0,80.0,10.0,20.0,160.0,inf,160.0,80.0,80.0,40.0
ash,160.0,50.0,20.0,80.0,230.0,160.0,160.0,10.0,100.0,110.0,80.0,10.0,20.0,230.0,160.0,inf,80.0,80.0,40.0
pal,80.0,50.0,10.0,110.0,40.0,80.0,80.0,100.0,40.0,40.0,80.0,10.0,20.0,80.0,80.0,80.0,inf,80.0,40.0
war,80.0,10.0,10.0,80.0,80.0,80.0,80.0,40.0,80.0,80.0,10.0,10.0,20.0,80.0,80.0,80.0,80.0,inf,40.0
san,40.0,40.0,20.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,10.0,20.0,40.0,40.0,40.0,40.0,40.0,inf
